token,venue_count,venues,earliest_listing_time_utc,earliest_listing_time_sgt,listing_age_days,coingecko_id,current_price_usd,price_change_24h_pct,volume_24h_usd,market_cap_usd,match_status
BASED,4,"Binance, Bitget, Bybit, OKX",2026-03-30T08:23:42+00:00,2026-03-30 16:23:42 SGT,16.7,based-one,0.088886,15.878754688938,63598734.267732962966,20930262.660656120628,matched_override_map
EDGE,4,"Binance, Bitget, Bybit, OKX",2026-03-19T14:00:00+00:00,2026-03-19 22:00:00 SGT,27.5,edgex,1.13,10.94063450713,16704567.1398118902,394874533.925741791725,matched_override_map
BSB,4,"Binance, Bitget, Bybit, OKX",2026-03-25T11:45:00+00:00,2026-03-25 19:45:00 SGT,21.6,block-street,0.244718,6.814696060303,8265747.553881753236,52349589.566513098776,matched_override_map
PRL,3,"Binance, Bitget, Bybit",2026-03-27T04:50:57+00:00,2026-03-27 12:50:57 SGT,19.9,perle,0.177752,-1.346867897101,3174252.029136924073,31126472.40781788528,matched_override_map
BZ,3,"Binance, Bitget, OKX",2026-03-24T10:00:00+00:00,2026-03-24 18:00:00 SGT,22.7,,,,,,unmatched_no_symbol_candidate
NATGAS,2,"Binance, Bitget",2026-04-01T09:20:00+00:00,2026-04-01 17:20:00 SGT,14.7,,,,,,unmatched_no_symbol_candidate
OFC,1,OKX,2026-04-09T11:00:00+00:00,2026-04-09 19:00:00 SGT,6.6,onefootball-club,0.04636325,0.186978654444,27231259.262218236923,7477217.870804249309,matched_exact_symbol_unique
CRWV,1,OKX,2026-04-10T12:00:00+00:00,2026-04-10 20:00:00 SGT,5.6,,,,,,unmatched_no_symbol_candidate
IWM,1,OKX,2026-04-10T12:00:00+00:00,2026-04-10 20:00:00 SGT,5.6,,,,,,unmatched_no_symbol_candidate
PAYP,1,Binance,2026-03-23T14:30:00+00:00,2026-03-23 22:30:00 SGT,23.5,,,,,,unmatched_no_symbol_candidate
UP,1,OKX,2026-04-08T11:00:00+00:00,2026-04-08 19:00:00 SGT,7.6,,,,,,unmatched_ambiguous_symbol_candidates
