token,coingecko_id,current_price_usd,volume_24h_usd,market_cap_usd,label_source,evidence_type,evidence_detail_json,has_signal_evidence
XLM,stellar,0.166688,147196223.068407982588,5520461027.661288261414,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
INJ,injective-protocol,3.39,77704500.484872788191,338757999.759421885014,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
TSLAX,tesla-xstock,386.98,27658686.599779382348,54029107.581850640476,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
XDC,xdce-crowd-sale,0.03223245,21731228.395074147731,642068283.801581859589,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
DUSK,dusk-network,0.163262,17938886.136149208993,81772255.29483909905,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
SYRUP,syrup,0.241894,12826387.353166764602,280695695.590426146984,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
RSR,reserve-rights-token,0.00166142,10237765.005543181673,103768832.537190869451,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
KERNEL,kernel-2,0.083023,9959397.227327970788,23834691.486521165818,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
QNT,quant-network,75.91,9887473.78406897746,1103812798.369532108307,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
MANTRA,mantra,0.01120876,8356903.142264764756,54549822.27559992671,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
ZBCN,zebec-network,0.00280854,8238334.19234384317,275046139.167570054531,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
RVN,ravencoin,0.00601092,7546678.114062963054,97288437.186119228601,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
LUMIA,lumia,0.103885,6873069.992265252396,14360345.412608889863,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
DIA,dia-data,0.208852,5221858.361380894668,24800258.462574794888,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
MLN,melon,3.19,2608912.148608411197,10370189.851840686053,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
RLS,rayls,0.00277435,2292381.34854089329,3927650.705275585409,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
EWT,energy-web-token,0.42776,446064.825615792535,25898695.778814610094,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
MKR,maker,1802.31,88428.311922894791,0,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
