venue,symbol_raw,base_token,quote_asset,last_price,price_change_24h_pct,volume_24h_base,volume_24h_quote,turnover_24h_usd,open_interest,snapshot_time
binance,1MBABYDOGEUSDT,1MBABYDOGE,USDT,0.0003900,2.443,5569577298,2128221.1866347,2128221.1866347,,2026-04-13T09:25:48+00:00
binance,2ZUSDT,2Z,USDT,0.0775200,0.898,36285954,2783527.8611400,2783527.8611400,,2026-04-13T09:25:40+00:00
binance,4USDT,4,USDT,0.0132850,-10.133,1050979426,14819698.6383420,14819698.6383420,,2026-04-13T09:25:48+00:00
binance,AUSDT,A,USDT,0.0771200,-0.490,20086011,1548624.7425300,1548624.7425300,,2026-04-13T09:24:48+00:00
binance,AAPLUSDT,AAPL,USDT,259.04000,-0.602,5012.67,1300227.24360,1300227.24360,,2026-04-13T09:22:06+00:00
binance,AAVEUSDC,AAVE,USDC,94.550,5.161,76674.7,7163060.508,7163060.508,,2026-04-13T09:25:43+00:00
binance,AAVEUSDT,AAVE,USDT,94.570,5.218,974170.0,91064595.632,91064595.632,,2026-04-13T09:25:50+00:00
binance,ACEUSDT,ACE,USDT,0.110600,-3.237,13810847.75,1532934.872316,1532934.872316,,2026-04-13T09:25:13+00:00
binance,ACHUSDT,ACH,USDT,0.0061930,7.798,1205007343,7350335.0059190,7350335.0059190,,2026-04-13T09:25:46+00:00
binance,ACTUSDT,ACT,USDT,0.0131700,9.023,238971533,2951209.8558100,2951209.8558100,,2026-04-13T09:25:47+00:00
binance,ACUUSDT,ACU,USDT,0.0952400,17.537,40963580,3778617.9524500,3778617.9524500,,2026-04-13T09:25:50+00:00
binance,ACXUSDT,ACX,USDT,0.0427100,-1.613,25124113.4,1081876.6153220,1081876.6153220,,2026-04-13T09:25:43+00:00
binance,ADAUSDC,ADA,USDC,0.238800,-0.624,27922422.9,6658776.882370,6658776.882370,,2026-04-13T09:24:52+00:00
binance,ADAUSDT,ADA,USDT,0.23860,-0.542,640251774,152590288.58030,152590288.58030,,2026-04-13T09:25:49+00:00
binance,AERGOUSDT,AERGO,USDT,0.0537300,0.561,5583112,297930.8262200,297930.8262200,,2026-04-13T09:24:59+00:00
binance,AEROUSDT,AERO,USDT,0.3545000,-3.930,12396576.9,4450149.7687200,4450149.7687200,,2026-04-13T09:25:38+00:00
binance,AEVOUSDT,AEVO,USDT,0.0226000,-1.137,48206787.1,1095248.2703050,1095248.2703050,,2026-04-13T09:25:24+00:00
binance,AGLDUSDT,AGLD,USDT,0.2372000,-4.432,6477080,1564257.0906000,1564257.0906000,,2026-04-13T09:25:37+00:00
binance,AGTUSDT,AGT,USDT,0.0112220,-7.233,221639527,2580405.6639060,2580405.6639060,,2026-04-13T09:25:28+00:00
binance,AIUSDT,AI,USDT,0.019340,0.259,79662323,1533505.838690,1533505.838690,,2026-04-13T09:25:16+00:00
binance,AIAUSDT,AIA,USDT,0.1156600,-19.096,66003745,8251294.6268800,8251294.6268800,,2026-04-13T09:25:49+00:00
binance,AINUSDT,AIN,USDT,0.0781200,-26.551,762775454,76866559.5170300,76866559.5170300,,2026-04-13T09:25:48+00:00
binance,AIOUSDT,AIO,USDT,0.1182600,29.077,574568983,64929065.8412200,64929065.8412200,,2026-04-13T09:25:50+00:00
binance,AIOTUSDT,AIOT,USDT,0.0589700,-17.235,2770184462,165734438.7677800,165734438.7677800,,2026-04-13T09:25:48+00:00
binance,AIXBTUSDT,AIXBT,USDT,0.0231900,-1.319,147292032,3442448.6539200,3442448.6539200,,2026-04-13T09:25:31+00:00
binance,AKEUSDT,AKE,USDT,0.0005640,6.576,48066746750,28841090.4736232,28841090.4736232,,2026-04-13T09:25:46+00:00
binance,AKTUSDT,AKT,USDT,0.4327000,-3.566,3064851.3,1346048.4941800,1346048.4941800,,2026-04-13T09:25:32+00:00
binance,ALCHUSDT,ALCH,USDT,0.0644300,2.124,6905278,435375.8724900,435375.8724900,,2026-04-13T09:25:21+00:00
binance,ALGOUSDT,ALGO,USDT,0.1009,-3.813,127613667.3,13095665.6748,13095665.6748,,2026-04-13T09:25:44+00:00
binance,ALICEUSDT,ALICE,USDT,0.109,-2.679,15820671.1,1723905.414,1723905.414,,2026-04-13T09:25:44+00:00
binance,ALLUSDT,ALL,USDT,0.486800,0.247,597077,289591.535100,289591.535100,,2026-04-13T09:25:00+00:00
binance,ALLOUSDT,ALLO,USDT,0.1103500,3.112,27776827,2994016.9127500,2994016.9127500,,2026-04-13T09:25:46+00:00
binance,ALPINEUSDT,ALPINE,USDT,0.408300,0.024,1606676.3,652387.264410,652387.264410,,2026-04-13T09:25:20+00:00
binance,ALTUSDT,ALT,USDT,0.0066420,-1.862,373641314,2488662.6094900,2488662.6094900,,2026-04-13T09:25:43+00:00
binance,AMZNUSDT,AMZN,USDT,235.21000,-0.981,20598.26,4862953.12830,4862953.12830,,2026-04-13T09:24:05+00:00
binance,ANIMEUSDT,ANIME,USDT,0.0044900,-0.333,328891125,1475005.9231130,1475005.9231130,,2026-04-13T09:25:45+00:00
binance,ANKRUSDT,ANKR,USDT,0.005084,-2.884,1778086178,9129024.743660,9129024.743660,,2026-04-13T09:25:49+00:00
binance,APEUSDT,APE,USDT,0.0852,-1.160,64468780,5499489.1855,5499489.1855,,2026-04-13T09:25:05+00:00
binance,API3USDT,API3,USDT,0.2759,-0.145,3889887.3,1074775.1205,1074775.1205,,2026-04-13T09:25:28+00:00
binance,APRUSDT,APR,USDT,0.1749900,1.869,13928273,2431832.4779600,2431832.4779600,,2026-04-13T09:25:43+00:00
binance,APTUSDT,APT,USDT,0.81840,-0.486,26720403.3,21858758.26043,21858758.26043,,2026-04-13T09:25:48+00:00
binance,ARUSDT,AR,USDT,1.679,-0.356,2352438.5,3927133.427,3927133.427,,2026-04-13T09:25:47+00:00
binance,ARBUSDC,ARB,USDC,0.110600,0.545,24195501.5,2693653.148340,2693653.148340,,2026-04-13T09:22:39+00:00
binance,ARBUSDT,ARB,USDT,0.110600,0.363,256805195.3,28584627.480690,28584627.480690,,2026-04-13T09:25:47+00:00
binance,ARCUSDT,ARC,USDT,0.0726400,-8.961,134837578,10201419.4290000,10201419.4290000,,2026-04-13T09:25:46+00:00
binance,ARIAUSDT,ARIA,USDT,0.7668000,-14.391,502305875,429385593.9334400,429385593.9334400,,2026-04-13T09:25:49+00:00
binance,ARKUSDT,ARK,USDT,0.1626000,-0.854,2546788,416556.3288000,416556.3288000,,2026-04-13T09:25:28+00:00
binance,ARKMUSDT,ARKM,USDT,0.0964000,-2.033,37703799,3661096.6783000,3661096.6783000,,2026-04-13T09:25:46+00:00
binance,ARPAUSDT,ARPA,USDT,0.00923,-0.431,103047006,953103.89546,953103.89546,,2026-04-13T09:25:49+00:00
binance,ASRUSDT,ASR,USDT,1.247000,0.080,459488.7,567122.763300,567122.763300,,2026-04-13T09:25:50+00:00
binance,ASTERUSDT,ASTER,USDT,0.6585000,-0.843,48493751,32048598.9762000,32048598.9762000,,2026-04-13T09:25:48+00:00
binance,ASTRUSDT,ASTR,USDT,0.0074670,-0.480,145616345,1080688.9006680,1080688.9006680,,2026-04-13T09:25:12+00:00
binance,ATUSDT,AT,USDT,0.1486500,2.630,22464513,3309974.1792400,3309974.1792400,,2026-04-13T09:25:50+00:00
binance,ATAUSDT,ATA,USDT,0.0087400,0.00,83904323,731256.3101300,731256.3101300,,2026-04-13T09:25:46+00:00
binance,ATHUSDT,ATH,USDT,0.0061110,6.020,858518057,5022201.0655370,5022201.0655370,,2026-04-13T09:25:48+00:00
binance,ATOMUSDT,ATOM,USDT,1.713,-1.495,4773199.84,8244721.179,8244721.179,,2026-04-13T09:25:45+00:00
binance,AUCTIONUSDT,AUCTION,USDT,4.701000,0.363,240498.74,1125701.598910,1125701.598910,,2026-04-13T09:25:50+00:00
binance,AVAUSDT,AVA,USDT,0.2066000,2.786,3564533.2,726050.5561700,726050.5561700,,2026-04-13T09:25:42+00:00
binance,AVAAIUSDT,AVAAI,USDT,0.0068450,-3.997,145660968,1001023.7273180,1001023.7273180,,2026-04-13T09:25:43+00:00
binance,AVAXUSDC,AVAX,USDC,9.063000,0.310,743969.07,6737606.882200,6737606.882200,,2026-04-13T09:25:38+00:00
binance,AVAXUSDT,AVAX,USDT,9.0590,0.310,11835517,107175676.0290,107175676.0290,,2026-04-13T09:25:51+00:00
binance,AVNTUSDT,AVNT,USDT,0.1310000,-4.170,47441212,6274131.4843000,6274131.4843000,,2026-04-13T09:25:48+00:00
binance,AWEUSDT,AWE,USDT,0.0507400,-0.898,22851935,1177347.3084800,1177347.3084800,,2026-04-13T09:25:49+00:00
binance,AXLUSDT,AXL,USDT,0.0451000,1.098,63241867.5,2818389.4834500,2818389.4834500,,2026-04-13T09:25:47+00:00
binance,AXSUSDT,AXS,USDT,1.06600,-2.826,9659181,10426325.65100,10426325.65100,,2026-04-13T09:25:47+00:00
binance,AZTECUSDT,AZTEC,USDT,0.0209500,1.013,72393151,1476183.9202400,1476183.9202400,,2026-04-13T09:25:47+00:00
binance,BUSDT,B,USDT,0.1719000,4.308,7386680,1221505.5793000,1221505.5793000,,2026-04-13T09:25:47+00:00
binance,B2USDT,B2,USDT,0.6558000,2.405,1382224,887441.9390000,887441.9390000,,2026-04-13T09:25:45+00:00
binance,B3USDT,B3,USDT,0.0003151,3.075,3866881893,1186132.1326154,1186132.1326154,,2026-04-13T09:25:47+00:00
binance,BABYUSDT,BABY,USDT,0.0141200,-0.563,228377576,3272504.1013400,3272504.1013400,,2026-04-13T09:25:49+00:00
binance,BANUSDT,BAN,USDT,0.0810700,25.573,467819420,37651772.4562800,37651772.4562800,,2026-04-13T09:25:47+00:00
binance,BANANAUSDT,BANANA,USDT,3.4350000,0.233,473590.3,1608939.6771000,1608939.6771000,,2026-04-13T09:25:44+00:00
binance,BANANAS31USDT,BANANAS31,USDT,0.0099580,2.554,1079281656,10935544.6006580,10935544.6006580,,2026-04-13T09:25:47+00:00
binance,BANDUSDT,BAND,USDT,0.2041,-0.098,4709320.5,959096.5965,959096.5965,,2026-04-13T09:24:59+00:00
binance,BANKUSDT,BANK,USDT,0.0372100,0.296,214566597,8026329.2987600,8026329.2987600,,2026-04-13T09:25:40+00:00
binance,BARDUSDT,BARD,USDT,0.3298000,-0.272,55185463,18160570.9693000,18160570.9693000,,2026-04-13T09:25:44+00:00
binance,BASUSDT,BAS,USDT,0.0069600,-10.758,1480189857,10689481.9248480,10689481.9248480,,2026-04-13T09:25:49+00:00
binance,BASEDUSDT,BASED,USDT,0.0642500,14.324,676731088,41524161.4224700,41524161.4224700,,2026-04-13T09:25:51+00:00
binance,BATUSDT,BAT,USDT,0.0945,-1.460,13143215.0,1252123.3029,1252123.3029,,2026-04-13T09:24:11+00:00
binance,BBUSDT,BB,USDT,0.0257500,4.125,168658177,4141474.0273800,4141474.0273800,,2026-04-13T09:25:49+00:00
binance,BCHUSDC,BCH,USDC,424.68,-0.202,11896.010,5035239.85,5035239.85,,2026-04-13T09:25:23+00:00
binance,BCHUSDT,BCH,USDT,424.61,-0.183,123857.135,52428077.61,52428077.61,,2026-04-13T09:25:48+00:00
binance,BEAMXUSDT,BEAMX,USDT,0.0018320,2.118,488686493,889428.4279050,889428.4279050,,2026-04-13T09:25:42+00:00
binance,BEATUSDT,BEAT,USDT,0.3815000,23.583,167769285,61265314.5727000,61265314.5727000,,2026-04-13T09:25:50+00:00
binance,BELUSDT,BEL,USDT,0.09940,-1.291,14351303,1427531.11220,1427531.11220,,2026-04-13T09:25:47+00:00
binance,BERAUSDT,BERA,USDT,0.400900,-1.450,13160722.1,5296901.333080,5296901.333080,,2026-04-13T09:25:48+00:00
binance,BICOUSDT,BICO,USDT,0.0212500,-2.389,48002835,1028798.1317600,1028798.1317600,,2026-04-13T09:25:50+00:00
binance,BIGTIMEUSDT,BIGTIME,USDT,0.0122300,-0.488,77938461,951137.8919900,951137.8919900,,2026-04-13T09:25:31+00:00
binance,BIOUSDC,BIO,USDC,0.0175200,0.922,47723414,842471.9413400,842471.9413400,,2026-04-13T09:25:36+00:00
binance,BIOUSDT,BIO,USDT,0.0175600,0.862,324732617,5741442.5282000,5741442.5282000,,2026-04-13T09:25:44+00:00
binance,BIRBUSDT,BIRB,USDT,0.1290700,0.109,7005178,891968.4844000,891968.4844000,,2026-04-13T09:25:43+00:00
binance,BLESSUSDT,BLESS,USDT,0.0118810,41.744,2293153676,21320276.3779620,21320276.3779620,,2026-04-13T09:25:49+00:00
binance,BLUAIUSDT,BLUAI,USDT,0.0086040,-6.843,398695206,3586267.1544630,3586267.1544630,,2026-04-13T09:25:47+00:00
binance,BLURUSDT,BLUR,USDT,0.0211200,-6.755,905440122,20396072.7939000,20396072.7939000,,2026-04-13T09:25:47+00:00
binance,BMTUSDT,BMT,USDT,0.0144100,0.628,60384189,861494.9825900,861494.9825900,,2026-04-13T09:25:02+00:00
binance,BNBUSDC,BNB,USDC,597.560,0.449,36231.20,21546131.205,21546131.205,,2026-04-13T09:25:50+00:00
binance,BNBUSDT,BNB,USDT,597.320,0.493,366710.21,218002768.599,218002768.599,,2026-04-13T09:25:47+00:00
binance,BNTUSDT,BNT,USDT,0.2927000,-0.374,2231283,651959.9848000,651959.9848000,,2026-04-13T09:24:39+00:00
binance,BOBUSDT,BOB,USDT,0.0075920,9.790,608414816,4584826.1703440,4584826.1703440,,2026-04-13T09:25:44+00:00
binance,BOMEUSDC,BOME,USDC,0.0003821,0.131,1245454898,471210.5068137,471210.5068137,,2026-04-13T09:25:46+00:00
binance,BOMEUSDT,BOME,USDT,0.0003821,0.079,10045620158,3800727.6476554,3800727.6476554,,2026-04-13T09:25:44+00:00
binance,BRUSDT,BR,USDT,0.1231000,3.996,84342476,10343223.7787900,10343223.7787900,,2026-04-13T09:25:47+00:00
binance,BRETTUSDT,BRETT,USDT,0.0066610,2.445,382031997,2560050.3914390,2560050.3914390,,2026-04-13T09:25:43+00:00
binance,BREVUSDT,BREV,USDT,0.1179000,0.426,12070142,1409946.8191000,1409946.8191000,,2026-04-13T09:25:47+00:00
binance,BROCCOLI714USDT,BROCCOLI714,USDT,0.0137100,12.010,354894367,4658122.1777200,4658122.1777200,,2026-04-13T09:25:49+00:00
binance,BROCCOLIF3BUSDT,BROCCOLIF3B,USDT,0.0041980,1.376,229802583,943037.0914780,943037.0914780,,2026-04-13T09:25:46+00:00
binance,BSBUSDT,BSB,USDT,0.2223600,5.664,103742108,22397534.8863300,22397534.8863300,,2026-04-13T09:25:50+00:00
binance,BSVUSDT,BSV,USDT,15.01000,-1.703,64128.7,972972.51200,972972.51200,,2026-04-13T09:24:58+00:00
binance,BTCUSDC,BTC,USDC,70729.3,-1.233,26076.296,1850565960.5,1850565960.5,,2026-04-13T09:25:50+00:00
binance,BTCUSDT,BTC,USDT,70710.00,-1.218,108816.870,7721883980.72,7721883980.72,,2026-04-13T09:25:50+00:00
binance,BTCDOMUSDT,BTCDOM,USDT,5219.0,-0.704,430.674,2254837.6,2254837.6,,2026-04-13T09:25:48+00:00
binance,BTRUSDT,BTR,USDT,0.0283500,-2.174,180074240,5325360.2679100,5325360.2679100,,2026-04-13T09:25:14+00:00
binance,BULLAUSDT,BULLA,USDT,0.0087250,11.090,19309812750,181521896.6578510,181521896.6578510,,2026-04-13T09:25:49+00:00
binance,BZUSDT,BZ,USDT,98.34000,5.300,2864243.38,278689787.76770,278689787.76770,,2026-04-13T09:25:49+00:00
binance,CUSDT,C,USDT,0.0653600,-4.458,93238846,6241268.4289100,6241268.4289100,,2026-04-13T09:25:48+00:00
binance,C98USDT,C98,USDT,0.0193,-6.763,151579898,3058127.6057,3058127.6057,,2026-04-13T09:25:44+00:00
binance,CAKEUSDT,CAKE,USDT,1.5003000,2.620,3729546,5513707.2429000,5513707.2429000,,2026-04-13T09:25:51+00:00
binance,CARVUSDT,CARV,USDT,0.0509200,-5.300,22468570,1170499.9431000,1170499.9431000,,2026-04-13T09:25:46+00:00
binance,CATIUSDT,CATI,USDT,0.0494100,-5.778,278345590,15675698.6195500,15675698.6195500,,2026-04-13T09:25:50+00:00
binance,CCUSDT,CC,USDT,0.1481900,2.362,26521515,3888573.4857700,3888573.4857700,,2026-04-13T09:25:43+00:00
binance,CELOUSDT,CELO,USDT,0.077990,-2.342,16168523.8,1274992.472865,1274992.472865,,2026-04-13T09:25:44+00:00
binance,CELRUSDT,CELR,USDT,0.00234,-4.098,280191055,666467.16081,666467.16081,,2026-04-13T09:25:04+00:00
binance,CETUSUSDT,CETUS,USDT,0.0192100,-1.487,27453136,528215.2601300,528215.2601300,,2026-04-13T09:25:35+00:00
binance,CFGUSDT,CFG,USDT,0.1925000,-7.050,72085259,13952840.3732000,13952840.3732000,,2026-04-13T09:25:47+00:00
binance,CFXUSDT,CFX,USDT,0.0521000,-0.211,85645839,4451451.2653700,4451451.2653700,,2026-04-13T09:25:47+00:00
binance,CGPTUSDT,CGPT,USDT,0.0193400,-0.309,40607120,778393.7989200,778393.7989200,,2026-04-13T09:22:49+00:00
binance,CHILLGUYUSDT,CHILLGUY,USDT,0.0128840,-0.953,403837222,5248815.9053900,5248815.9053900,,2026-04-13T09:25:47+00:00
binance,CHRUSDT,CHR,USDT,0.0170,-3.409,192809841,3349051.4501,3349051.4501,,2026-04-13T09:25:38+00:00
binance,CHZUSDT,CHZ,USDT,0.03591,-4.773,446947533,16267774.81100,16267774.81100,,2026-04-13T09:25:50+00:00
binance,CKBUSDT,CKB,USDT,0.0014700,1.449,2307899526,3430099.0402180,3430099.0402180,,2026-04-13T09:25:06+00:00
binance,CLUSDT,CL,USDT,98.78000,5.433,11086029.48,1083866503.58020,1083866503.58020,,2026-04-13T09:25:49+00:00
binance,CLANKERUSDT,CLANKER,USDT,26.18000,1.003,22688.76,585759.11870,585759.11870,,2026-04-13T09:25:00+00:00
binance,CLOUSDT,CLO,USDT,0.0865700,1.133,41443315,3543084.7533000,3543084.7533000,,2026-04-13T09:25:49+00:00
binance,COAIUSDT,COAI,USDT,0.2909000,-4.498,21162622,6520806.2092000,6520806.2092000,,2026-04-13T09:25:48+00:00
binance,COINUSDT,COIN,USDT,163.62000,-2.036,63066.89,10384267.67610,10384267.67610,,2026-04-13T09:25:44+00:00
binance,COLLECTUSDT,COLLECT,USDT,0.0342000,-6.481,81663773,2832694.7829300,2832694.7829300,,2026-04-13T09:25:49+00:00
binance,COMPUSDT,COMP,USDT,20.14,0.399,706817.033,14559926.84,14559926.84,,2026-04-13T09:25:27+00:00
binance,COOKIEUSDT,COOKIE,USDT,0.0155200,-2.513,69351414,1091813.1259300,1091813.1259300,,2026-04-13T09:25:38+00:00
binance,COPPERUSDT,COPPER,USDT,5.90500,0.340,569573.9,3332875.98590,3332875.98590,,2026-04-13T09:25:48+00:00
binance,COSUSDT,COS,USDT,0.0012210,-1.214,2851493856,3491686.6167680,3491686.6167680,,2026-04-13T09:25:46+00:00
binance,COTIUSDT,COTI,USDT,0.01325,-3.355,74453807,999185.32111,999185.32111,,2026-04-13T09:25:42+00:00
binance,COWUSDT,COW,USDT,0.2110000,-1.906,5183769,1100135.4455000,1100135.4455000,,2026-04-13T09:25:41+00:00
binance,CRCLUSDT,CRCL,USDT,86.43000,-1.471,304843.83,26436517.12540,26436517.12540,,2026-04-13T09:25:19+00:00
binance,CROSSUSDT,CROSS,USDT,0.0664100,-10.147,98036813,6961648.0496000,6961648.0496000,,2026-04-13T09:25:49+00:00
binance,CRVUSDC,CRV,USDC,0.2091000,-1.507,26397324.3,5552778.9886300,5552778.9886300,,2026-04-13T09:25:38+00:00
binance,CRVUSDT,CRV,USDT,0.209,-1.878,196202789.7,41238014.807,41238014.807,,2026-04-13T09:25:48+00:00
binance,CTKUSDT,CTK,USDT,0.1711000,0.470,5084246,874676.3568000,874676.3568000,,2026-04-13T09:24:29+00:00
binance,CTSIUSDT,CTSI,USDT,0.0313,-9.275,884190654,29709940.5633,29709940.5633,,2026-04-13T09:25:37+00:00
binance,CVCUSDT,CVC,USDT,0.0293300,-1.312,19561628,577438.3972100,577438.3972100,,2026-04-13T09:24:52+00:00
binance,CVXUSDT,CVX,USDT,1.705000,-2.627,711724.5,1226447.865400,1226447.865400,,2026-04-13T09:25:00+00:00
binance,CYBERUSDT,CYBER,USDT,0.494500,-0.503,2159688.6,1066463.882000,1066463.882000,,2026-04-13T09:22:50+00:00
binance,CYSUSDT,CYS,USDT,0.2679000,5.597,56720162,14789469.2549000,14789469.2549000,,2026-04-13T09:25:50+00:00
binance,DUSDT,D,USDT,0.0085840,-6.227,918283362,8234468.9548450,8234468.9548450,,2026-04-13T09:25:44+00:00
binance,DAMUSDT,DAM,USDT,0.0598700,-6.277,17244829,1057839.8586100,1057839.8586100,,2026-04-13T09:25:48+00:00
binance,DASHUSDT,DASH,USDT,41.07,-6.489,2417868.903,102240280.91,102240280.91,,2026-04-13T09:25:50+00:00
binance,DEEPUSDT,DEEP,USDT,0.0274600,-3.344,36620133,1005003.4785900,1005003.4785900,,2026-04-13T09:25:03+00:00
binance,DEGENUSDT,DEGEN,USDT,0.0007239,-0.193,395303259,285587.7074480,285587.7074480,,2026-04-13T09:24:14+00:00
binance,DEGOUSDT,DEGO,USDT,0.2741000,-6.066,12259663.8,3422454.8514200,3422454.8514200,,2026-04-13T09:25:47+00:00
binance,DENTUSDT,DENT,USDT,0.000153,-5.556,14939150223,2320209.659344,2320209.659344,,2026-04-13T09:25:48+00:00
binance,DEXEUSDT,DEXE,USDT,10.231000,5.703,780874.52,7653824.364330,7653824.364330,,2026-04-13T09:25:50+00:00
binance,DIAUSDT,DIA,USDT,0.1769000,-1.007,2488075,443120.9190000,443120.9190000,,2026-04-13T09:25:26+00:00
binance,DODOXUSDT,DODOX,USDT,0.0149240,-1.028,21446020,319347.7686220,319347.7686220,,2026-04-13T09:23:20+00:00
binance,DOGEUSDC,DOGE,USDC,0.091010,-0.230,238078347,21669167.069480,21669167.069480,,2026-04-13T09:25:46+00:00
binance,DOGEUSDT,DOGE,USDT,0.090990,-0.197,3431065132,312095292.158560,312095292.158560,,2026-04-13T09:25:47+00:00
binance,DOGSUSDT,DOGS,USDT,0.0000271,-2.867,72861228528,2002642.5552183,2002642.5552183,,2026-04-13T09:25:23+00:00
binance,DOLOUSDT,DOLO,USDT,0.0318700,-0.437,68396686,2120534.6933400,2120534.6933400,,2026-04-13T09:25:49+00:00
binance,DOODUSDT,DOOD,USDT,0.0029380,-0.068,146222537,428190.5639750,428190.5639750,,2026-04-13T09:24:09+00:00
binance,DOTUSDT,DOT,USDT,1.179,-3.122,147825029.7,176244592.805,176244592.805,,2026-04-13T09:25:49+00:00
binance,DRIFTUSDT,DRIFT,USDT,0.0418300,9.848,743432001,31421895.2608200,31421895.2608200,,2026-04-13T09:25:50+00:00
binance,DUSKUSDT,DUSK,USDT,0.15860,7.003,241741348,38584131.32911,38584131.32911,,2026-04-13T09:25:48+00:00
binance,DYDXUSDT,DYDX,USDT,0.092,-2.128,47596082.8,4394101.938,4394101.938,,2026-04-13T09:25:47+00:00
binance,DYMUSDT,DYM,USDT,0.016840,-6.858,259902909.1,4494243.623457,4494243.623457,,2026-04-13T09:25:42+00:00
binance,EDENUSDT,EDEN,USDT,0.0304100,-1.170,43433011,1326685.1540000,1326685.1540000,,2026-04-13T09:25:43+00:00
binance,EDGEUSDT,EDGE,USDT,0.8861000,-4.474,34011374,30642710.6765000,30642710.6765000,,2026-04-13T09:25:51+00:00
binance,EDUUSDT,EDU,USDT,0.0466100,6.586,291737925,13610069.7688100,13610069.7688100,,2026-04-13T09:25:46+00:00
binance,EGLDUSDT,EGLD,USDT,3.696,-1.361,676734.9,2514021.684,2514021.684,,2026-04-13T09:25:40+00:00
binance,EIGENUSDT,EIGEN,USDT,0.1543000,-0.580,36118300.1,5580543.4504500,5580543.4504500,,2026-04-13T09:25:48+00:00
binance,ELSAUSDT,ELSA,USDT,0.0645100,0.530,12622159,807417.2392200,807417.2392200,,2026-04-13T09:25:44+00:00
binance,ENAUSDC,ENA,USDC,0.0919600,0.284,91882447,8442366.2217500,8442366.2217500,,2026-04-13T09:25:47+00:00
binance,ENAUSDT,ENA,USDT,0.0919900,0.316,1076295333,98941263.0335800,98941263.0335800,,2026-04-13T09:25:50+00:00
binance,ENJUSDT,ENJ,USDT,0.03817,15.597,8466967957,346571343.36924,346571343.36924,,2026-04-13T09:25:50+00:00
binance,ENSUSDT,ENS,USDT,5.561,-1.050,528025.5,2947835.229,2947835.229,,2026-04-13T09:25:46+00:00
binance,ENSOUSDT,ENSO,USDT,0.861500,-3.387,4869331.6,4215650.330300,4215650.330300,,2026-04-13T09:25:49+00:00
binance,EPICUSDT,EPIC,USDT,0.256800,-1.835,9923479.2,2590070.503290,2590070.503290,,2026-04-13T09:24:54+00:00
binance,ERAUSDT,ERA,USDT,0.1238000,-0.482,4783711,589837.5600000,589837.5600000,,2026-04-13T09:23:49+00:00
binance,ESPUSDT,ESP,USDT,0.0752600,1.224,53312951,3940124.1438100,3940124.1438100,,2026-04-13T09:25:50+00:00
binance,ESPORTSUSDT,ESPORTS,USDT,0.4518000,0.848,4380091,2009956.7042000,2009956.7042000,,2026-04-13T09:25:08+00:00
